Symbol,MarketCap(USD),Close
MMM,81108852736,"Ticker
MMM    152.28
Name: 2025-10-13 00:00:00, dtype: float64"
AOS,9555436544,"Ticker
AOS    68.19
Name: 2025-10-13 00:00:00, dtype: float64"
ABT,229984256000,"Ticker
ABT    132.14
Name: 2025-10-13 00:00:00, dtype: float64"
ABBV,411440250880,"Ticker
ABBV    232.9
Name: 2025-10-13 00:00:00, dtype: float64"
AMD,361764290560,"Ticker
AMD    222.98
Name: 2025-10-13 00:00:00, dtype: float64"
AES,10271314944,"Ticker
AES    14.43
Name: 2025-10-13 00:00:00, dtype: float64"
AFL,59430477824,"Ticker
AFL    111.12
Name: 2025-10-13 00:00:00, dtype: float64"
A,39196766208,"Ticker
A    138.26
Name: 2025-10-13 00:00:00, dtype: float64"
ALB,11363239936,"Ticker
ALB    96.56
Name: 2025-10-13 00:00:00, dtype: float64"
ARE,12581286912,"Ticker
ARE    73.69
Name: 2025-10-13 00:00:00, dtype: float64"
ALLE,14998246400,"Ticker
ALLE    174.71
Name: 2025-10-13 00:00:00, dtype: float64"
LNT,17397387264,"Ticker
LNT    67.68
Name: 2025-10-13 00:00:00, dtype: float64"
ALL,53911871488,"Ticker
ALL    204.6
Name: 2025-10-13 00:00:00, dtype: float64"
GOOGL,2930283380736,"Ticker
GOOGL    241.87
Name: 2025-10-13 00:00:00, dtype: float64"
GOOG,2930879496192,"Ticker
GOOG    242.86
Name: 2025-10-13 00:00:00, dtype: float64"
MO,109906870272,"Ticker
MO    65.43
Name: 2025-10-13 00:00:00, dtype: float64"
AEE,28000948224,"Ticker
AEE    103.55
Name: 2025-10-13 00:00:00, dtype: float64"
AEP,62394503168,"Ticker
AEP    116.67
Name: 2025-10-13 00:00:00, dtype: float64"
AXP,224589021184,"Ticker
AXP    322.74
Name: 2025-10-13 00:00:00, dtype: float64"
AME,41694117888,"Ticker
AME    180.76
Name: 2025-10-13 00:00:00, dtype: float64"
AMGN,158149181440,"Ticker
AMGN    293.75
Name: 2025-10-13 00:00:00, dtype: float64"
APH,151858167808,"Ticker
APH    124.38
Name: 2025-10-13 00:00:00, dtype: float64"
ADI,112766025728,"Ticker
ADI    229.15
Name: 2025-10-13 00:00:00, dtype: float64"
APA,8085974016,"Ticker
APA    22.59
Name: 2025-10-13 00:00:00, dtype: float64"
AAPL,3662747795456,"Ticker
AAPL    246.84
Name: 2025-10-13 00:00:00, dtype: float64"
AMAT,174584184832,"Ticker
AMAT    219.15
Name: 2025-10-13 00:00:00, dtype: float64"
APP,196570562560,"Ticker
APP    581.14
Name: 2025-10-13 00:00:00, dtype: float64"
APTV,17846505472,"Ticker
APTV    81.96
Name: 2025-10-13 00:00:00, dtype: float64"
ADM,29711923200,"Ticker
ADM    61.84
Name: 2025-10-13 00:00:00, dtype: float64"
ANET,201180168192,"Ticker
ANET    160.08
Name: 2025-10-13 00:00:00, dtype: float64"
AIZ,10961759232,"Ticker
AIZ    217.24
Name: 2025-10-13 00:00:00, dtype: float64"
ATO,28240109568,"Ticker
ATO    175.93
Name: 2025-10-13 00:00:00, dtype: float64"
ADSK,65005469696,"Ticker
ADSK    305.19
Name: 2025-10-13 00:00:00, dtype: float64"
AZO,67724558336,"Ticker
AZO    4063.88
Name: 2025-10-13 00:00:00, dtype: float64"
BKR,44956086272,"Ticker
BKR    45.6
Name: 2025-10-13 00:00:00, dtype: float64"
BAC,364014436352,"Ticker
BAC    49.16
Name: 2025-10-13 00:00:00, dtype: float64"
BDX,53372899328,"Ticker
BDX    186.21
Name: 2025-10-13 00:00:00, dtype: float64"
BBY,15837432832,"Ticker
BBY    75.38
Name: 2025-10-13 00:00:00, dtype: float64"
TECH,9241962496,"Ticker
TECH    59.36
Name: 2025-10-13 00:00:00, dtype: float64"
BIIB,21580935168,"Ticker
BIIB    147.2
Name: 2025-10-13 00:00:00, dtype: float64"
BLK,179177701376,"Ticker
BLK    1157.08
Name: 2025-10-13 00:00:00, dtype: float64"
XYZ,45755371520,"Ticker
XYZ    75.06
Name: 2025-10-13 00:00:00, dtype: float64"
BK,74720264192,"Ticker
BK    105.95
Name: 2025-10-13 00:00:00, dtype: float64"
AVGO,1678620884992,"Ticker
AVGO    355.39
Name: 2025-10-13 00:00:00, dtype: float64"
BG,16345066496,"Ticker
BG    81.7
Name: 2025-10-13 00:00:00, dtype: float64"
BXP,12487621632,"Ticker
BXP    70.63
Name: 2025-10-13 00:00:00, dtype: float64"
CHRW,14855868416,"Ticker
CHRW    125.8
Name: 2025-10-13 00:00:00, dtype: float64"
CDNS,89549750272,"Ticker
CDNS    328.64
Name: 2025-10-13 00:00:00, dtype: float64"
CAH,37077151744,"Ticker
CAH    156.06
Name: 2025-10-13 00:00:00, dtype: float64"
CAT,234972626944,"Ticker
CAT    501.57
Name: 2025-10-13 00:00:00, dtype: float64"
CBOE,25485475840,"Ticker
CBOE    243.67
Name: 2025-10-13 00:00:00, dtype: float64"
CBRE,45269917696,"Ticker
CBRE    152.14
Name: 2025-10-13 00:00:00, dtype: float64"
COR,61579493376,"Ticker
COR    317.62
Name: 2025-10-13 00:00:00, dtype: float64"
CNP,25638004736,"Ticker
CNP    39.27
Name: 2025-10-13 00:00:00, dtype: float64"
CRL,8380928000,"Ticker
CRL    170.29
Name: 2025-10-13 00:00:00, dtype: float64"
CVX,304540385280,"Ticker
CVX    151.15
Name: 2025-10-13 00:00:00, dtype: float64"
CINF,24893954048,"Ticker
CINF    159.19
Name: 2025-10-13 00:00:00, dtype: float64"
CSCO,271011430400,"Ticker
CSCO    68.55
Name: 2025-10-13 00:00:00, dtype: float64"
C,177222500352,"Ticker
C    96.25
Name: 2025-10-13 00:00:00, dtype: float64"
CFG,21714108416,"Ticker
CFG    50.34
Name: 2025-10-13 00:00:00, dtype: float64"
